title
"The Franz Kafka Videogame"
"Metamorphosis"
"The Stanley Parable"
"Pathologic 2"
"Disco Elysium"
"Kentucky Route Zero (PC Edition)"
"Papers, Please"
"Hearts of Iron IV"
"Inside"
"Becke"
"Hamlet or the Last Game without MMORPG Features, Shaders and Product Placement"
"Bad Mojo Redux"
"Paradise Killer"
"Death and Taxes"
"Milk inside a bag of milk inside a bag of milk"
"NORTH"
"Cyberpunk 2077"
"My name is You and its the only unusual thing in my life"
"Limbus Company"
"Resident Evil 2 – RevelaMons"
