2-gram,Frequency
i have,8426
made it,8040
it and,7497
not lying,7159
have made,7112
and i,6462
i am,6441
am not,5222
this is,3955
the game,3635
in the,3527
this game,3500
of the,3414
the end,3197
end is,2509
im not,2504
never the,2500
is never,2483
lying i,2447
and im,2391
this song,1861
i love,1770
to the,1755
to be,1527
is the,1519
for the,1422
is a,1324
i was,1285
the best,1247
on the,1127
i dont,1087
to see,1074
but i,1059
it was,1026
and the,1010
for this,1008
at the,982
to this,967
i just,942
with the,936
of this,930
game is,927
this was,906
the bucket,879
gon na,842
the first,841
one of,840
i cant,837
in this,835
if you,815
in a,807
this video,800
all the,794
i think,788
jim jim,783
so much,771
it is,770
is so,768
be a,757
from the,753
will be,744
thank you,742
want to,724
i can,714
going to,714
glory to,705
this trailer,703
the narrator,699
the elevator,696
a game,694
like this,684
for a,675
quietits quietits,674
to play,673
like a,672
that i,670
is this,668
like the,664
short film,657
looks like,656
i want,655
in my,654
that was,650
# stopvivekbindra,622
stopvivekbindra #,621
when i,616
papers please,589
you can,585
would be,581
the same,581
the only,573
i hope,572
a lot,570
was a,570
love this,569
i would,563
have a,546
make it,543
of a,533
cant wait,533
